rating|BDest|ToDate|3|0|30/06/12|31/12/49|?|||
rating|BDest|RateBDest|227|0|0606|0707|0708|112|116|16505|COMP
rating|BDest|PNPCustNum|1|0|0||||||
rating|BDest|PNPBillTarget|1|0|0||||||
rating|BDest|FTAM|1|0|no||||||
rating|BDest|Free|1|0|no||||||
rating|BDest|DiscGroup|1|0|||||||
rating|BDest|DestType|3|0|0|1|5||||
rating|BDest|Class|4|0|1|3|5|7|||
rating|BDest|CDestArea|1|0|||||||
rating|BDest|CDest|1|0|||||||
rating|BDest|CCN|28|0|2|3|4|8|9|10|11
rating|BDest|bt-pros|1|0|0||||||
rating|BDest|bt-prate|1|0|0||||||
rating|BDest|Brand|1|0|1||||||
rating|BDest|BillTarget|1|0|0||||||
rating|BDest|BDName|574|0|071-Company numbers|Academica Oy|Afghanistan|Afghanistan mobile|Ainacom|Albania|Albania mobile
rating|BDest|BDest|1730|0|0|010|0100|0100100|0101|01019|0102
rating|BDestRule|Clitype|1|0|||||||
rating|BDestRule|RuleType|6|0|1|2|3|4|5|6|
rating|BDestRule|RuleName|6|0|Based on B-number|Based on TCC|Between the DNA|Between the Subscrip|F & F|Routing Number|
rating|BDestRule|Prior|6|0|5|8|10|12|20|999|
rating|BillTarget|RatePlan|54|0|DATA11RP|DATA12RP|DATA13RP|DATA16RP|DATA17RP|DATA18RP|DATA19RP
rating|BillTarget|DiscPlan|1|0|||||||
rating|BillTarget|CustNum|26897|0|1001|1003|1008|1010|1011|1012|1013
rating|BillTarget|BillTarget|53|0|2|3|4|5|7|8|9
rating|CCN|Brand|1|0|1||||||
rating|CCN|CCN|82|0|2|3|4|7|9|10|11
rating|CCN|CCNName|82|0|212 PAYMENT_SERV_VAT_9|Call Forwarding|Calls to Service numbers|Calls to voice mail service|DCF high Speed Data/Fax Abroad|DCF Low Speed Data/Fax Abroad|Domestic call to Payment servi
rating|CCN|RepCCN|1|0|0||||||
rating|CDRStreamCounter|Brand|1|0|1||||||
rating|CDRStreamCounter|CDRQty|59|0|2|3|4|5|6|7|8
rating|CDRStreamCounter|CounterType|5|0|KPI-RATED-FAST|KPI-RATED-SLOW|MSCID|QTY|TCC||
rating|CDRStreamCounter|DataAmt|9|0|0|1132|3962|8490|10000|10754|40002
rating|CDRStreamCounter|ImportDate|39|0|24/10/13|28/03/14|31/03/14|01/04/14|04/04/14|14/04/14|15/04/14
rating|CDRStreamCounter|MSCID|26|0|0|1010|1020|1021|1025|1026|1030
rating|CDRStreamCounter|OnlineStream|1|0|9||||||
rating|CDRStreamCounter|Second|67|0|0|4|6|7|8|11|12
rating|CSVHeader|CSV|-1|0|||||||
